scheme_code,fund_name,fund_type,nav,nav_change_pct
135915,BANDHAN Corporate Bond Fund - Regular Periodic IDCW,Debt,13.319,0.0
139205,BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,Debt,10.6604,0.0
150230,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,Debt,11.8079,0.0
150229,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,Debt,32.8029,0.0
150231,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,Debt,10.3091,0.0
150228,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,Debt,10.3628,0.0
150236,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,Debt,12.0825,0.0
150237,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,Debt,30.1435,0.0
150238,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,Debt,10.5036,0.0
150239,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,Debt,10.6024,0.0
150233,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,Debt,11.7314,0.0
150235,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,Debt,28.3414,0.0
150234,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,Debt,10.3522,0.0
150232,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,Debt,10.3746,0.0
126685,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,Debt,23.8855,0.0
126686,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),Debt,12.3978,0.0
126687,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,Debt,22.2064,0.0
126688,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),Debt,11.5423,0.0
144646,DSP Corporate Bond Fund - Direct - Growth,Debt,16.8198,0.0
144647,DSP Corporate Bond Fund - Direct - IDCW,Debt,11.8941,0.0
144651,DSP Corporate Bond Fund - Direct - IDCW - Monthly,Debt,10.6017,0.0
144648,DSP Corporate Bond Fund - Direct - IDCW - Quarterly ,Debt,11.3884,0.0
144644,DSP Corporate Bond Fund - Regular - Growth,Debt,16.5066,0.0
144650,DSP Corporate Bond Fund - Regular - IDCW,Debt,11.8458,0.0
144645,DSP Corporate Bond Fund - Regular - IDCW - Monthly,Debt,10.5778,0.0
144649,DSP Corporate Bond Fund - Regular - IDCW - Quarterly ,Debt,10.7369,0.0
119289,Franklin India Corporate Debt Fund - Direct - Bonus,Debt,0.0,
118569,Franklin India Corporate Debt Fund - Direct - GROWTH,Debt,112.0262,0.0
100528,Franklin India Corporate Debt Fund - Growth,Debt,103.1117,0.0
100532,Franklin India Corporate Debt Fund - Monthly Bonus,Debt,0.0,
100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,Debt,17.6023,0.0
118570,Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,Debt,19.8292,0.0
118573,Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,Debt,15.0513,0.0
118571,Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,Debt,17.0847,0.0
